Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Decompression,Best Lap Time,Number of Laps,Max Temp,Stress Change,Stress Start,Stress End,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-06-03 17:34:51,false,"Santiago de Surco Running","4.05","214","00:23:38","135","149","177","187","5:50","4:52","2","68","0.97","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:14.1","5","NaN","--","--","--","00:23:32","00:23:38","88","158"
Running,2024-06-01 04:41:12,false,"Santiago de Surco Running","14.12","818","01:20:26","152","178","183","195","5:42","4:56","36","130","0.96","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:35.5","15","NaN","--","--","--","01:20:21","01:20:26","21","123"
Running,2024-05-31 05:30:44,false,"Santiago de Surco Running","6.24","367","00:34:50","155","172","184","198","5:35","4:47","7","75","0.98","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:13.8","7","NaN","--","--","--","00:34:40","00:34:50","17","91"
Running,2024-05-30 05:03:48,false,"Santiago de Surco Running","9.63","602","00:57:47","155","175","182","191","6:00","4:48","9","114","0.92","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:03:29.5","10","NaN","--","--","--","00:57:40","00:57:47","-45","61"
Running,2024-05-28 05:03:19,false,"Running","11.03","643","00:58:27","158","175","180","189","5:18","4:47","18","99","1.05","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:08.3","12","NaN","--","--","--","00:58:16","00:58:27","-11","78"
Running,2024-05-24 07:08:20,false,"Santiago de Surco Running","8.28","453","00:45:14","150","168","180","189","5:28","4:46","93","301","1.02","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:20.6","9","NaN","--","--","--","00:45:06","00:45:14","-63","191"
Running,2024-05-23 05:58:33,false,"Santiago de Surco Running","4.02","220","00:22:20","152","162","186","197","5:34","4:40","13","162","0.97","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:04.5","5","NaN","--","--","--","00:22:13","00:22:20","70","234"
Running,2024-05-22 05:29:01,false,"Santiago de Surco Running","7.02","440","00:42:09","156","176","178","185","6:00","4:43","13","181","0.94","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:07.6","8","NaN","--","--","--","00:42:00","00:42:09","8","190"
Running,2024-05-21 05:11:13,false,"Santiago de Surco Running","3.24","179","00:19:35","143","159","183","195","6:03","5:19","--","164","0.90","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:15.7","4","NaN","--","--","--","00:19:33","00:19:35","-21","147"
Running,2024-05-19 05:32:54,false,"10K Maratón Lima","10.11","534","00:49:49","156","170","178","191","4:56","3:58","135","217","1.14","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:26.1","11","NaN","--","--","--","00:49:44","00:49:49","46","150"
